questions,answers
"query regarding  some local chicken showing the signs of nasel discharge , suspected to be choronic  rerespiratory disease  "," told him to give ciprocolen 1.5 ml / lits of water for 5-6 days , [ resspifit / respivel etc can also  used for the respiratory disease like infectious coryza , bronchitis & laryngotrachiatis ]"
asking that his local poultry are suffering from respiratory distress.,"tr. dexona tab. 10 no.s @ 1/2 tab. orally twice daily , 2. c-flox tab. 500 mg @ 1/10th tab. orally twice daily."
regarding yellowing of leaves in bitter gourd,"discard the infected plant parts and spray rogor @ 2ml/litre water,2 sprays  at an interval of 5 days.
spray npk 19 all @ 10gm/litre water"
asking about soil test,নিকটস্থ কৃষি অফিসে যোগাযোগ করুন
farmer's asking about seed treatment and variety,"seed treatment: carbendiazim 2gm per kg of seed
maize variety: vnr 4226, vnr 4343"
asking about pig diseases,krpaya apane najadeekee pashu chikitsa kaaryaalay mein jaen
 query regarding a local goat showing the signs  of vomitting ," told him to give aciloc rd - 1 tab orally  , inject enrox -2 ml i/ m ly with dexona 1 ml - 0.2 ml intra mascularly for 3 days "
regarding wilting in french bean,"spray bavistin @ 2gm/litre water,2 sprays at an interval of 5 days"
farmer asking query regarding control fruit drop in lemon.,apply borax @ 50 g/plant near the root zone.
asking about the control of coconut nut fall.,apply borax @25 gm per plant in the ring structure.
farmer asking query regarding sowing time of papaya.,"sowing time: mid feb to march.
planting time: april to june."
farmer asking query regarding spacing of summer squash.,spacing of summer squash: 2-3 m x 1-2 m.
farmer asking query regarding pit size of coconut.,pit size: 1m x 1m x 1m.
farmer asking query regarding control of fungal diseases in chilli.,apply bavistin in a powder form in chilli field before transplanting.
query regarding a local  cow with decreased production of milk ," told him to give milk-o-more - 20-30 ml orally daily for 1 month , papaya & bottle guard should be incorporate in their daily ration for one month "
farmer asking query regarding control of leaf curl in bitter gourd.,spray rogor/malathion 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain. 
farmer asking query regarding forest tree.,please visit your nearest forest department for further information.
regarding viral infestation in papaya,"discard the infected plant parts and spray rogor @ 2ml/litre water,2 sprays at an interval of 5 days"
query regarding govt schemes for pond construction.,visit district fishery office and consult with fishery officer.
farmer asking query regarding sowing time of pea and potato.,"sowing time: pea upto mid october
                           potato: first week of oct to mid nov."
asking that his pig is suffering from stunted growth.,"tr.: 1.fentus plus 1.5 gm 1 bl. @ 1/2 bl. orally daily in the  morning in empty stomach, 2. dexona inj. 5 ml @ 2.5 ml i/m ly daily, 3. c-flox inj. 10 ml @ 5 ml i/m ly daily, 34. liv-52 1/2 lit/ @ 50 ml orally daily, 5. vimeral 60 ml 3 no.s @ 20 ml orally daily."
asking that his goat is suffering from offed and oedematus swelling.,"tr.: 1. dexona inj.  5ml @ 2ml i/m ly daily, 2.avil inj 10 ml @ 3 ml i/m ly daily, 3. c-flox inj. 10 ml @ 3 ml i/m ly daily, 4. melonex inj. 10 ml @ 2 ml i/m ly daily for 3 days, 5. feroliv 200 ml @ 20 ml orally twice daily."
farmer asking query regarding fertilizer dose of rapeseed.,"treat the seeds with metalaxyl 35 ws @ 6 g/kg of seed. seed rate: 1.3 kg/bigha. fertilizer dose: urea-12 kg/bigha, super-30 kg/bigha, potash-9 kg/bigha. variety: ts 38, jeuti (jt 90-1), ts 46, ts 36."
query regarding a goat showing the signs of eart like growth on the whole skin ," told him to inject neomec injection - 1 ml - 0.5 ml sub cutanously & repeat the same after 20 days { anthiomalein injection may allso be tried insted of neomec } , clean the whole body coat & spray topicur on the skin ---- for the rest of the flock follow the vaccine - fmd vaccine , ppr vaccine , enteroaxaemia vaccine "
regarding yellowing of leaves in cowpea,spray npk 19 all @ 19 all @ 10gm/litre 
farmer asking query about diseases in chillies.,apply blitox 50 w @ 2gm/lit
"farmer asking query regarding fertilizer dose, seed treatment and variety of rapeseed.","treat the seeds with metalaxyl 35 ws @ 6 g/kg of seed. seed rate: 1.3 kg/bigha. fertilizer dose: urea-12 kg/bigha, super-30 kg/bigha, potash-9 kg/bigha and borax 2 kg/bigha. variety: ts 38, jeuti (jt 90-1), ts 46, ts 36."
farmer asking about disease management in  chilli.,apply copper fungicide- mancozeb/carboxin @2gm/lit within 3 days interval for 4 times.
farmer asking query regarding control of yellowing of leaf in black pepper.,spray bordeux mixture (3-4ml/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.
farmer asking query about plant protection of papaya.,"apply cholopyriphos  20 ec @ 2 gm/lit for red ant.
apply  mahafol/bipul vitamin @ 3 gm/lit."
nutrient  management in mustard.,"give urea -12 kg/bigha, ssp- 30 kg, mop- 9 kg/bigha, borax-2 kg/bigha
use green harvest to enhance production."
farmer asking query regarding fertilizer dose of rapeseed.,"fertilizer dose: urea-12 kg/bigha, super-30 kg/bigha, potash-9 kg/bigha and borax @ 2kg/bigha."
rice infestatation by stem borer.,"apply flubendiamide @ 3ml/lit.
apply 3-4 times after 3 days interval."
asking about pradhan mantri kisan samman nidhi (pm-kisan) information		,"query: asking about pradhan mantri kisan samman nidhi (pm-kisan) information	ans: recommended for contact to nearest agriculture department 
"
"asking about pradhan mantri kisan samman nidhi (pm-kisan) information
","query : asking about pradhan mantri kisan samman nidhi (pm-kisan) information ans: recommended for contact to nearest agriculture department 
"
asked about pm kisan samman nidhi next due details,கேள்வி; பி எம் கிஷன் சம்மன் அடுத்த வரவு     பதில்; ஒன்றிய வேளாண்துறையை அணுகவும் 
regarding preparation of bordeaux mixture,mix lime @ 100gm with 5 litre water and cuso4 @ 100gm with 5 litre water and then mix the both mixture together in a 10 litre vessel and the bordeaux mixture will be prepared.
farmer asking  about  nutrient management  in mustard.,"urea- 18 kg, ssp- 30 kg and mop- 9 kg/ bigha"
asking about soil health card,"visit krishi vigyan kendra, dibrugarh and district agriculture office"
regarding good varieties of cabbage,"cabbage varieities- golden acre,pride of india,drum head"
asking that he wants to cultivate grass for his cows.,"you can cultivate para, napier. visit kvk."
asking about plant protection in amrapali mango.,apply planofix @ 2ml/4.5 lit pf water and spray in 7 days interval.
farmer asking query regarding pop of strawberry.,planting season: september-november and again april-july. spacing: plant to plant 25-30 cm and row to row 30-40 cm. seedling should be washed and treated with fungicide like captan/captaf/carboxin 3 gram/liter of water for 30 minutes and then plant by maintaining the above mention spacing.
farmer asking query regarding control of bud rot in pumpkin.,"spray saaf (2g/lit of water) @ 3 spray at 5 days interval in the evening time in the absence of rainfall.after completion of 3 spray of saaf, continue one vitamin like- mohaphol/sagorika/biovita 2 ml/liter of water @ 15 days interval up to the end of the season in the evening time in the absence of rain."
asking query about mustard plant protection.,apply imidach;lorpid @ 2gm/lit
asking about the seed treatment.,"seed treatment with thiram, captan, or mancozeb @ 2gm/l water. 3 spray at 3 days interval."
asking  plant protection in chilli,apply planofix @ 2 ml/4.5 lit of water after 7 day interval.
asking about plant protection  in capcicum.,apply  saaf @ 2 mg/lit 
farmer asking query regarding nutrient management in marigold.,spray npk 19:19:19 10 gram/liter of water 2 times at 15 days interval in the evening time. 
asking about flowering in bottle gourd.,apply mahafol/planofix @ 2gm/lit
asking query about marigold,aplly npk 10 gram per liter water
asking about plant protection in pumpkin,apply planofix @ 2 mg/2-3 lit to induce flowering
farmer aske a query regarding nutrient management in cauliflower.,spray tata tracel @ 2.5 gram/liter of water 2 times at 15 days interval in the evening time. 
query regarding kkc loan.,visit district agriculture office 
asking query about lab lab,apply blitox @ 2gram per liter water
"farmer asking query regarding dragon fruits
",visit agriculture department and krishi vigyan kendra
asking that his calves are suffering from ectoparasitic infestation.,tr.: neomec inj. 10 ml @ 1 ml i/m ly to each. 2. liv-52 1 lit. @ 20 ml orally daily to each.
nutrient management in pumpkin,apply mahafol/planofix @ 2gm/lit
asking about the spacing of the knol khol plantation.,spacing: 30cm x 30cm (plant to plant x row to row).
regarding damping off in broccoli,drench the soil properly with blitox 50 ec @ 2gm/litre water
farmer asked a query regarding fertilizer dose of cauliflower.,"for cauliflower: fertilizer dose: urea 23 kg, super 50 kg, potash 11 kg. half of urea full doses of super and potash should be applied as basal and the remaining half of urea to be top dressed at 30 days after planting."
farmer asked a query regarding fertilizer dose of cabbage.,"for cabbage: fertilizer dose: urea 35 kg, super 50 kg, potash 14 kg, borax 1 kg per bigha. half of urea full doses of super and potash should be applied as basal and the remaining half of urea to be top dressed at 30 days after planting."
asking that her chicks are suffering.,"tr.: 1. tetracyclin powder 100 gm pkt. @ 1 gm in 1/2 lit. water orally daily for 7 days, 2. vimeral 60 ml @ 5 ml orally daily."
regarding fungal wilt in cabbage,drench the soil properly with saaf @ 2gm/litre water twice in a gap of 5 days
query regarding procuring water pump for agricultural purpose,visit the district agril dept for further enquiry
asking query about papaya,use mahafol @ 2gm/lit
asking plant protection  in papaya,apply imidachlorod @ 2gm/lit 
asking  about  planty protection in chillies,apply imidachloropid @ 2gm/lit 
asking about plant protection,"apply imidachloropid 2gm /lit
"
farmer asked a query regarding the fertilizer dose of the chilli.,"fertilizer- dry cowgung 1.5 tonne, urea-34 kg, super-36 kg, potash 13 kg per bigha of land. apply half of urea and other fertilizer 3-4 days before transplanting and half of urea should be apply 30 days after transplanting."
 query regarding  oral dose of vitogen  for swine ," vitogen can be given orally -- in adult pig -10 ml daily , in piglets---- 5-7 ml & in pregnant sow - 5 ml  on daily basis "
 query regarding  oral dose of vitogen  for swine ," vitogen can be given orally -- in adult pig -10 ml daily , in piglets---- 5-7 ml & in pregnant sow - 5 ml  on daily basis "
 query regarding  oral dose of vitogen  for swine ," vitogen can be given orally -- in adult pig -10 ml daily , in piglets---- 5-7 ml & in pregnant sow - 5 ml  on daily basis "
 query regarding  oral dose of vitogen  for swine ," vitogen can be given orally -- in adult pig -10 ml daily , in piglets---- 5-7 ml & in pregnant sow - 5 ml  on daily basis "
regarding fertilization in pea,spray npk @ 10gm/litre water
farmer asking query regarding veterinary,amprolium powder 9.4%@ 3gram per liter of wayer for 7 days
farmer asked a query regarding the control of insects in rapeseed.,spray rogor/decis @ 2ml/liter of water 3 times at 5 days intervals in the evening time in the absence of rain.
farmer asked a query regarding the control of blight in potato field.,spray indofil m 45 (2ml/lit of water) @ 3 spray at 7 days intervals in the evening time in the absence of rainfall.
