questions,answers,clean_question,clean_answer
asking that his pigs are suffering from skin problem.,"tr.: 1. chloril 30 ml @ 2-3 ml i/m ly daily for 3-4 days to each, 2. enrox 30 ml @ 3 ml i/m ly daily for 3-4 days to each, 3. vimeral 60 ml bottle @ 5 ml orally daily to each.",Asking that his pigs are suffering from skin problem.?,"Tr.: 1. chloril 30 ml @ 2-3 ml i/m ly daily for 3-4 days to each, 2. enrox 30 ml @ 3 ml i/m ly daily for 3-4 days to each, 3. vimeral 60 ml bottle @ 5 ml orally daily to each."
regarding the appliance of mahaphal in chilli,"spray mahaphal @ 2ml/litre water,3 sprays at an interval of 10 days",Regarding the appliance of mahaphal in chilli?,"Spray mahaphal @ 2ml/litre water,3 sprays at an interval of 10 days"
asking for sowing of rice in sandy soil,visit district agri office for further queries,Asking for sowing of rice in sandy soil?,Visit district agri office for further queries
asking for plant protection of colocassia,spray trichoderma viridie @ 2 gm/l water @ 3 spray @ 5 days interval,Asking for plant protection of colocassia?,Spray trichoderma viridie @ 2 gm/l water @ 3 spray @ 5 days interval
asking about control of blast of rice.,spray bavistin @2gm/l water. 3 spray at 3 days interval.,What is control of blast of rice.?,Spray bavistin @2gm/l water. 3 spray at 3 days interval.
asking for falling of fruits,-spray mohafol (2gm/lit of water) @ 2 sprays at 15 days interval,Asking for falling of fruits?,-spray mohafol 2gm/lit of water @ 2 sprays at 15 days interval
asking about nutrient management in tea ,suggested to spray tracel @ 2 g per lit of water twice after 7 days interval,What is nutrient management in tea?,Suggested to spray tracel @ 2 g per lit of water twice after 7 days interval
pm kisan samman nidhi schme status,either details are not registered in the portal or rejected due to wrong details.,Pm kisan samman nidhi schme status?,Either details are not registered in the portal or rejected due to wrong details.
asking that his 3-month old piglet is suffering from skin problem.,"tr.: 1. avil inj. 10 ml @ 3 ml i/m ly daily, 2. enrox inj. 10 ml @ 3 ml i/m ly daily, 3. himax oint. 1 tube apply externally, 4. vimeral 60 ml @ 5 ml orally twice daily.",Asking that his 3-month old piglet is suffering from skin problem.?,"Tr.: 1. avil inj. 10 ml @ 3 ml i/m ly daily, 2. enrox inj. 10 ml @ 3 ml i/m ly daily, 3. himax oint. 1 tube apply externally, 4. vimeral 60 ml @ 5 ml orally twice daily."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding vitamines for pig.,"tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each.",What is vitamines for pig.?,"Tr.: 1. vimeral 60 ml @ 5 ml orally daily to each, 2. min-mix 1 kg @ 10 gm orally daily to each."
query regarding electricity for broiler farm.,approach electricity department.,What is electricity for broiler farm.?,Approach electricity department.
asking about the control of white fly,spray dimethoate (rogor or tapgor) @2ml/l water. spray at 3 days interval.,What is the control of white fly?,Spray dimethoate rogor or tapgor @2ml/l water. spray at 3 days interval.
farmer asking query regarding nutrient management in chilli.,spray npk 19:19:19 10 gram/liter of water 2 times at 15 days interval in the evening time. after completion of this. please spray one vitamins like- mohaphol/sagorika/biovita 2 ml/liter of water at 15 days interval continously up to the end of the season.,Farmer asking what is nutrient management in chilli.?,Spray npk 19:19:19 10 gram/liter of water 2 times at 15 days interval in the evening time. after completion of this. please spray one vitamins like- mohaphol/sagorika/biovita 2 ml/liter of water at 15 days interval continously up to the end of the season.
query regarding tea culture practices.,visit the district tea board.,What is tea culture practices.?,Visit the district tea board.
"asking that his milk of the cows contain low fat, heifer not coming to heat.","to improove milk quality: 1. ostovet 5 lit. @ 100 ml orally daily, 2. vimeral 120 ml @ 10 ml orally daily. to introduce heat: first: prajana/sajani 1 pkt. @ 2 cap. orally daily, repeat on 11th day if needed. or, 2ndly: 1. tonoricin 30 ml @ 10 ml i/m ly at alt. day, 2. vimeral 5 ml 3 no.s @ 5 ml i/m ly at alt. day.","Asking that his milk of the cows contain low fat, heifer not coming to heat.?","To improove milk quality: 1. ostovet 5 lit. @ 100 ml orally daily, 2. vimeral 120 ml @ 10 ml orally daily. to introduce heat: first: prajana/sajani 1 pkt. @ 2 cap. orally daily, repeat on 11th day if needed. or, 2ndly: 1. tonoricin 30 ml @ 10 ml i/m ly at alt. day, 2. vimeral 5 ml 3 no.s @ 5 ml i/m ly at alt. day."
 query regarding fooder for  cattle & goat ," napier , bajra , guinea , para , teosintae . maize -- etc can be use as fooder for cattle & for goat ",What is fooder for cattle  goat?,"Napier , bajra , guinea , para , teosintae . maize -- etc can be use as fooder for cattle  for goat"
query regarding water quality.,"immediately stop the application of feed and fertilization, manually (netting, siphoning), liming- 160 kg/bigha (5-6 ph), 133 kg/bigha (6-6.5 ph), 55kg/bigha (6.5-7.5 ph). 1/3 rd of whole quantity applied 1st installment remaining quantity divided into 11 equal installment applied monthly basis.",What is water quality.?,"Immediately stop the application of feed and fertilization, manually netting, siphoning, liming- 160 kg/bigha 5-6 ph, 133 kg/bigha 6-6.5 ph, 55kg/bigha 6.5-7.5 ph. 1/3 rd of whole quantity applied 1st installment remaining quantity divided into 11 equal installment applied monthly basis."
asking for fruit fly infestation in guava,--spray rogor or malathion @ 2gm/l of water @ 3 spray @ 5 days of interval. also can make poison bait with jaggery. water and rogor (3ml) in a plastic bottle and cnan hang it. also can buy pheromne trap for fruit fly.,Asking for fruit fly infestation in guava?,--spray rogor or malathion @ 2gm/l of water @ 3 spray @ 5 days of interval. also can make poison bait with jaggery. water and rogor 3ml in a plastic bottle and cnan hang it. also can buy pheromne trap for fruit fly.
asking about the application of nutrients.,"spray mahaphal, crop booster, or tata tracel2 @2gm/l water as nutrients.",What is the application of nutrients.?,"Spray mahaphal, crop booster, or tata tracel2 @2gm/l water as nutrients."
"asking that his 1 sow is suffering from offed, and another is not coming to heat.","tr.: 1. dexona 5 ml @ 2.5 ml i/m ly daily, 2. enrox/c-flox 30 ml @ 6 ml i/m ly daily, 3. feroliv 1 lit. @ 50 ml orally twice daily.
to bring to hat: 1. tonoricin 30 ml @ 8 ml i/m ly at alt. day, 2. vita ad3e 5 ml 3 no.s @ 5 ml i/m ly at alt. day.","Asking that his 1 sow is suffering from offed, and another is not coming to heat.?","Tr.: 1. dexona 5 ml @ 2.5 ml i/m ly daily, 2. enrox/c-flox 30 ml @ 6 ml i/m ly daily, 3. feroliv 1 lit. @ 50 ml orally twice daily. to bring to hat: 1. tonoricin 30 ml @ 8 ml i/m ly at alt. day, 2. vita ad3e 5 ml 3 no.s @ 5 ml i/m ly at alt. day."
query regarding fish mortality.,apply 1ppm (mg/lit) potash as disinfectant to prevent and control of disease.,What is fish mortality.?,Apply 1ppm mg/lit potash as disinfectant to prevent and control of disease.
query regarding fish mortality due to disease (bacterial septicemia),treatment (bacterial septicemia)- apply  1ppm potash (mg/lit). 3gm of tetramycin mix per kg of feed for 8-10 days.,What is fish mortality due to disease bacterial septicemia?,Treatment bacterial septicemia- apply 1ppm potash mg/lit. 3gm of tetramycin mix per kg of feed for 8-10 days.
asking about the root dip treatment ,make a solution with tricel @2ml/l water and add 10gm urea. mix properly. dip thee seedling for 15 min.,What is the root dip treatment?,Make a solution with tricel @2ml/l water and add 10gm urea. mix properly. dip thee seedling for 15 min.
farmer asking query regarding application of tracel and nano urea in tea.,spray nano urea @ 3 ml/l or tata tracel @ 3 g/l of water 2 times at 15 days interval.,Farmer asking what is application of tracel and nano urea in tea.?,Spray nano urea @ 3 ml/l or tata tracel @ 3 g/l of water 2 times at 15 days interval.
asking about the control of fungal disease.,spray hexaconazole or propiconazole @2ml/l water. 3 spray at 3 days interval.,What is the control of fungal disease.?,Spray hexaconazole or propiconazole @2ml/l water. 3 spray at 3 days interval.
asking about the nutrients application in ridge gourd,spray pgr planofix @2ml/4.5 l water. also spray crop booster or tracel2 @2gm/l water.,What is the nutrients application in ridge gourd?,Spray pgr planofix @2ml/4.5 l water. also spray crop booster or tracel2 @2gm/l water.
asking that his 3-month old piglets are suffering from poor health.,"tr.: 1. liv-52 1 lit. @ 10 ml orally daily in the morning, 2. vimeral 60 ml @ 5 ml orally daily in the evening.",Asking that his 3-month old piglets are suffering from poor health.?,"Tr.: 1. liv-52 1 lit. @ 10 ml orally daily in the morning, 2. vimeral 60 ml @ 5 ml orally daily in the evening."
asking about root stock for grafting purpose,suggested to use trifoliate orange as a root stock for grafting purpose,What is root stock for grafting purpose?,Suggested to use trifoliate orange as a root stock for grafting purpose
farmer asking query regarding control of insect infestation rice seedlings.,spray parathion @ 2 ml/liter 3 times at 5 days interval in absence of rain.,Farmer asking what is control of insect infestation rice seedlings.?,Spray parathion @ 2 ml/liter 3 times at 5 days interval in absence of rain.
